WL,O2Hb,HHb,H2O,Lipids
744,0.108978,0.278064,0.002451,0.000768
745,0.110636,0.284817,0.002481,0.000801
746,0.112294,0.291569,0.002511,0.000837
747,0.114045,0.299307,0.002536,0.000874
748,0.115795,0.307045,0.002561,0.000908
749,0.117545,0.315336,0.002581,0.000941
750,0.119295,0.323627,0.002600,0.000972
751,0.121046,0.336302,0.002614,0.001001
752,0.122796,0.348978,0.002628,0.001030
753,0.124546,0.352023,0.002636,0.001059
754,0.126297,0.355067,0.002644,0.001089
755,0.127863,0.357223,0.002647,0.001120
756,0.129429,0.359379,0.002650,0.001155
757,0.130810,0.359379,0.002649,0.001190
758,0.132192,0.359379,0.002648,0.001227
759,0.133574,0.358001,0.002643,0.001258
760,0.134956,0.356624,0.002637,0.001278
761,0.136338,0.352009,0.002628,0.001289
762,0.137719,0.347394,0.002619,0.001290
763,0.139101,0.341765,0.002608,0.001273
764,0.140483,0.336137,0.002596,0.001249
765,0.141957,0.330490,0.002582,0.001206
766,0.143431,0.324843,0.002567,0.001153
767,0.144997,0.319177,0.002551,0.001089
768,0.146563,0.313512,0.002534,0.001021
769,0.148129,0.307819,0.002516,0.000948
770,0.149695,0.302126,0.002498,0.000871
771,0.151261,0.296433,0.002479,0.000793
772,0.152827,0.290740,0.002459,0.000719
773,0.154393,0.285047,0.002440,0.000653
774,0.155959,0.279354,0.002420,0.000596
775,0.157341,0.273661,0.002400,0.000553
776,0.158723,0.267968,0.002380,0.000515
777,0.159920,0.262353,0.002361,0.000481
778,0.161118,0.256738,0.002341,0.000451
779,0.162315,0.252206,0.002322,0.000426
780,0.163513,0.247674,0.002303,0.000409
781,0.164711,0.243142,0.002284,0.000391
782,0.165908,0.238609,0.002265,0.000378
783,0.167106,0.234077,0.002247,0.000366
784,0.168303,0.229545,0.002228,0.000360
785,0.169363,0.225012,0.002211,0.000357
786,0.170422,0.220480,0.002193,0.000355
787,0.171343,0.216385,0.002176,0.000353
788,0.172264,0.212291,0.002159,0.000349
789,0.173186,0.208721,0.002143,0.000346
790,0.174107,0.205151,0.002127,0.000346
791,0.175028,0.201582,0.002112,0.000347
792,0.175949,0.198012,0.002097,0.000347
793,0.176870,0.194442,0.002083,0.000347
794,0.177792,0.190873,0.002069,0.000352
795,0.179450,0.187897,0.002056,0.000359
796,0.181108,0.184922,0.002043,0.000369
797,0.183503,0.182550,0.002032,0.000379
798,0.185898,0.180178,0.002020,0.000387
799,0.186911,0.177801,0.002010,0.000393
800,0.187925,0.175424,0.002000,0.000403
801,0.189307,0.173365,0.001992,0.000413
802,0.190688,0.171306,0.001983,0.000424
803,0.191610,0.170528,0.001977,0.000434
804,0.192531,0.169750,0.001971,0.000442
805,0.193452,0.168967,0.001969,0.000454
806,0.194373,0.168183,0.001966,0.000467
807,0.195755,0.167405,0.001968,0.000482
808,0.197137,0.166627,0.001970,0.000497
809,0.198058,0.165885,0.001978,0.000511
810,0.198979,0.165144,0.001986,0.000527
811,0.199900,0.164540,0.002001,0.000547
812,0.200822,0.163937,0.002015,0.000567
813,0.201743,0.163333,0.002040,0.000583
814,0.202664,0.162730,0.002065,0.000594
815,0.203493,0.162122,0.002102,0.000603
816,0.204322,0.161514,0.002139,0.000615
817,0.205980,0.160911,0.002193,0.000633
818,0.207638,0.160307,0.002246,0.000654
819,0.209297,0.160040,0.002319,0.000674
820,0.210955,0.159773,0.002391,0.000691
821,0.212613,0.159755,0.002480,0.000708
822,0.214271,0.159736,0.002569,0.000724
823,0.215929,0.159722,0.002653,0.000740
824,0.217587,0.159708,0.002737,0.000758
825,0.218923,0.159690,0.002790,0.000775
826,0.220259,0.159672,0.002842,0.000786
827,0.221272,0.159658,0.002862,0.000796
828,0.222286,0.159644,0.002881,0.000799
829,0.223299,0.159626,0.002894,0.000802
830,0.224312,0.159607,0.002907,0.000803
